id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,area,local_government_area,timezone,bordering_location_ids
1,Aarons Pass,,NSW,New South Wales,2850,Rural locality,-32.86328,149.80375,804,22,82.764,Mid-Western Regional (Area),Australia/Sydney,2468/2569/3488/3503/6325
2,Abba River,,WA,Western Australia,6280,Rural locality,-33.68488,115.46334,23,68,28.516,Busselton (City),Australia/Perth,6136/11620/13465/15038/15209
3,Abbey,Busselton,WA,Western Australia,6280,Suburb,-33.66077,115.25863,7,1275,2.644,Busselton (City),Australia/Perth,1784/6798/11994/13680
4,Abbeyard,,VIC,Victoria,3737,Rural locality,-36.96978,146.75244,415,0,327.501,Alpine (Shire),Australia/Melbourne,1916/3671/11546/11890/13747/14736
5,Abbeywood,,QLD,Queensland,4613,Rural locality,-26.10688,151.6288,429,23,35.035,South Burnett (Regional Council),Australia/Brisbane,7055/12325/12453/14466
6,Abbotsbury,Sydney,NSW,New South Wales,2176,Suburb,-33.87754,150.86777,80,4253,4.979,Fairfield (City),Australia/Sydney,1444/1567/2638/2639/4313/6227/14364
7,Abbotsford,Sydney,NSW,New South Wales,2046,Suburb,-33.85247,151.12945,24,5373,1.018,Canada Bay (Area),Australia/Sydney,2792/11655/13976
8,Abbotsford,,QLD,Queensland,4670,Rural locality,-24.84369,152.02491,75,3,85.764,Bundaberg (Regional Council),Australia/Brisbane,1895/3658/8827/14085/15051
9,Abbotsford,Melbourne,VIC,Victoria,3067,Suburb,-37.80329,145.00043,25,8184,1.741,Yarra (City),Australia/Melbourne,2891/3030/4250/4636/5946/6902/11365
10,Abbotsham,,TAS,Tasmania,7315,Rural locality,-41.21131,146.17558,102,95,8.155,Central Coast (Municipality),Australia/Hobart,4880/5037/12234/13525
11,Abels Bay,,TAS,Tasmania,7112,Rural locality,-43.23333,147.09803,21,126,5.211,Huon Valley (Municipality),Australia/Hobart,3764/4343/11187
12,Abercorn,,QLD,Queensland,4627,Rural locality,-25.13664,151.12935,200,46,94.273,North Burnett (Regional Council),Australia/Brisbane,3601/5293/6722/12907/14945/15132
13,Abercrombie,Bathurst,NSW,New South Wales,2795,Suburb,-33.38996,149.55047,661,1109,2.978,Bathurst Regional (Area),Australia/Sydney,4344/7737/14257
14,Abercrombie River,,NSW,New South Wales,2795,Rural locality,-33.91055,149.34763,757,22,127.17,Bathurst Regional (Area),Australia/Sydney,546/3260/3568/10648/13367/13381/13396
15,Aberdare,Cessnock,NSW,New South Wales,2325,Suburb,-32.8442,151.37651,95,2473,3.296,Cessnock (City),Australia/Sydney,2662/6801/9752
16,Aberdeen,,NSW,New South Wales,2336,Urban locality,-32.1624,150.89012,178,2084,41.633,Upper Hunter Shire (Area),Australia/Sydney,3717/6796/8344/9566/11592/11816/11882
17,Aberdeen,,TAS,Tasmania,7310,Rural locality,-41.24112,146.32449,108,229,4.229,Devonport (City),Australia/Hobart,32/4554/8421/12206/12256
18,Aberfeldie,Melbourne,VIC,Victoria,3040,Suburb,-37.75669,144.89626,44,3897,1.552,Moonee Valley (City),Australia/Melbourne,4529/4532/8202/8913
19,Aberfeldy,,VIC,Victoria,3825,Rural locality,-37.69657,146.36406,1076,0,10.832,Baw Baw (Shire),Australia/Melbourne,13071/13244
20,Aberfoyle,,NSW,New South Wales,2350,Rural locality,-30.24061,152.01293,1152,102,340.479,Armidale Regional (Area),Australia/Sydney,536/1790/7939/10265/12968/13973/14733
21,Aberfoyle Park,Adelaide,SA,South Australia,5159,Suburb,-35.07628,138.59372,187,11039,5.844,Onkaparinga (City),Australia/Adelaide,2681/4783/5874
22,Aberglasslyn,Maitland,NSW,New South Wales,2320,Suburb,-32.69466,151.53461,39,5401,6.216,Maitland (City),Australia/Sydney,212/8054/8430/10241/10242/11658
23,Abergowrie,,QLD,Queensland,4850,Rural locality,-18.47499,145.88579,53,438,306.265,Hinchinbrook (Shire),Australia/Brisbane,3640/3659/5026/7805/7923/13777
24,Abermain,Kurri Kurri - Weston,NSW,New South Wales,2326,Suburb,-32.81082,151.42867,34,2337,15.382,Cessnock (City),Australia/Sydney,2662/4431/7264/9752/10656/11370/11801/14327
25,Abernethy,,NSW,New South Wales,2325,Rural locality,-32.88324,151.39668,91,348,8.403,Cessnock (City),Australia/Sydney,4431/6801/7080/11159
26,Abingdon Downs,,QLD,Queensland,4892,Rural locality,-17.7998,143.43956,255,0,5052.028,Etheridge (Shire),Australia/Brisbane,190/1983/4885/5075/9323/11282/12509/12700
27,Abington,,NSW,New South Wales,2350,Rural locality,-30.29421,151.25027,740,12,174.314,Uralla (Area),Australia/Sydney,537/1522/2027/2330/13295/15137
28,Abington,,QLD,Queensland,4660,Rural locality,-25.20324,152.32893,61,60,19.565,Bundaberg (Regional Council),Australia/Brisbane,6229/6428/10062/11281
29,Acacia Creek,,NSW,New South Wales,2476,Rural locality,-28.37333,152.32088,607,42,6.212,Tenterfield (Area),Australia/Sydney,6959/7569
30,Acacia Gardens,Sydney,NSW,New South Wales,2763,Suburb,-33.73355,150.91371,87,3798,1.001,Blacktown (City),Australia/Sydney,5356/7025/10560/11115
31,Acacia Hills,,NT,Northern Territory,822,Rural locality,-12.79565,131.12295,38,694,127.309,Litchfield (Municipality),Australia/Darwin,3650/3726/4817/6266/7735/7744/8156/13786
32,Acacia Hills,,TAS,Tasmania,7306,Rural locality,-41.28049,146.32495,143,623,19.257,Kentish (Municipality),Australia/Hobart,17/752/7509/7849/8421/9966/11168/12206
33,Acacia Ridge,Brisbane,QLD,Queensland,4110,Suburb,-27.58963,153.02787,39,7429,8.664,Brisbane (City),Australia/Brisbane,120/304/3221/12574/12575/14502
34,Acheron,,VIC,Victoria,3714,Rural locality,-37.25243,145.70202,202,171,72.66,Murrindindi (Shire),Australia/Melbourne,110/7667/12686/13087/14371
35,Acland,,QLD,Queensland,4401,Rural locality,-27.3037,151.6911,444,32,38.179,Toowoomba (Regional Council),Australia/Brisbane,3849/5643/6081/6583/9401/11677/12005
36,Acton,Canberra,ACT,Australian Capital Territory,2601,Suburb,-35.28732,149.11213,556,2086,5.989,Unincorporated,Australia/Sydney,911/2369/10285/10547/13448/15108
37,Acton,Burnie - Somerset,TAS,Tasmania,7320,Suburb,-41.07007,145.89399,152,1349,0.954,Burnie (City),Australia/Hobart,3997/6096/11986/13555
38,Acton Park,Hobart,TAS,Tasmania,7170,Suburb,-42.86574,147.46989,103,2078,19.267,Clarence (City),Australia/Hobart,2313/2844/7510/9304/10234/11441/11494/11905
39,Acton Park,,WA,Western Australia,6280,Rural locality,-33.77704,115.37437,53,102,24.854,Busselton (City),Australia/Perth,2690/6653/11676/13871/15204
40,Ada,,VIC,Victoria,3833,Rural locality,-37.84087,145.84969,669,0,61.67,Baw Baw (Shire),Australia/Melbourne,4277/5068/8368/9965/11021
41,Adaminaby,,NSW,New South Wales,2629,Urban locality,-35.99735,148.76974,1022,301,356.496,Snowy Monaro Regional (Area),Australia/Sydney,235/1389/1657/4043/4957/7191/10295/11931/15078
42,Adams Estate,,VIC,Victoria,3984,Rural locality,-38.42519,145.53186,83,59,0.215,Bass Coast (Shire),Australia/Melbourne,5268/5548
43,Adamstown,Newcastle,NSW,New South Wales,2289,Suburb,-32.93254,151.72625,25,6044,3.071,Newcastle (City),Australia/Sydney,44/1775/5845/7192/8466/8467/9853
44,Adamstown Heights,Newcastle,NSW,New South Wales,2289,Suburb,-32.95098,151.7177,97,5299,2.394,Newcastle (City),Australia/Sydney,43/2699/6074/7192/7193/8466
45,Adamsvale,,WA,Western Australia,6375,Rural locality,-32.24941,117.72485,298,31,246.52,Corrigin (Shire),Australia/Perth,1143/2000/3315/7242/7276/11919/13887
46,Adare,,QLD,Queensland,4343,Rural locality,-27.52154,152.28656,122,873,39.049,Lockyer Valley (Regional Council),Australia/Brisbane,5033/7351/11386/12262/13727
47,Adavale,,QLD,Queensland,4474,Rural locality,-25.9119,144.70107,285,93,21354.757,Quilpie (Shire),Australia/Brisbane,1222/3144/4510/6273/6427/6615/7470/11147/11836
48,Addington,,VIC,Victoria,3352,Rural locality,-37.38446,143.67251,464,71,18.596,Ballarat (City),Australia/Melbourne,4499/7546/9090/14134/14155
49,Adelaide,,SA,South Australia,5000,Major urban locality,-34.92577,138.59973,75,15115,10.482,Adelaide (City),Australia/Adelaide,4075/4281/5128/5343/5793/6127/6871/6897/6898/8595/9999/10141/10566/11545/12979/13544/14150
50,Adelaide Lead,,VIC,Victoria,3465,Rural locality,-37.07467,143.67736,235,81,38.503,Central Goldfields (Shire),Australia/Melbourne,199/2055/3619/8276/8921
51,Adelaide Park,,QLD,Queensland,4703,Rural locality,-23.11468,150.69673,63,424,24.139,Livingstone (Shire),Australia/Brisbane,706/2065/4668/6393/7393/10425
52,Adelaide River,,NT,Northern Territory,846,Rural locality,-13.19095,131.1376,45,353,146.738,Coomalie (Shire),Australia/Darwin,787/7707/8196/11431/12350/13297
53,Adelong,,NSW,New South Wales,2729,Urban locality,-35.30795,148.06368,338,943,20.27,Snowy Valleys (Area),Australia/Sydney,1233/2262/3160/4976/5532/11762/14713
54,Adjungbilly,,NSW,New South Wales,2727,Rural locality,-35.08146,148.40992,513,81,438.101,Gundagai (Area),Australia/Sydney,1055/1464/1876/2148/3347/3682/5375/11264/13426/14172
55,Advancetown,,QLD,Queensland,4211,Rural locality,-28.03305,153.27963,55,482,63.553,Gold Coast (City),Australia/Brisbane,428/877/2822/5156/7850/9267/9388/9792/9793/10187/12715
56,Adventure Bay,,TAS,Tasmania,7150,Rural locality,-43.35579,147.32612,16,195,11.427,Kingborough (Municipality),Australia/Hobart,12123
57,Aeroglen,Cairns,QLD,Queensland,4870,Suburb,-16.88394,145.74673,6,403,9.864,Cairns (Regional Council),Australia/Brisbane,755/2245/7981/12486/14419
58,Afterlee,,NSW,New South Wales,2474,Rural locality,-28.59388,152.82575,238,50,34.784,Kyogle (Area),Australia/Sydney,5106/6411/12064/13253
59,Agery,,SA,South Australia,5558,Rural locality,-34.1569,137.74281,105,96,159.288,Yorke Peninsula (District Council),Australia/Adelaide,360/1529/3549/4251/7167/8925/9633/12584/14183
60,Agnes,,VIC,Victoria,3962,Rural locality,-38.67015,146.39615,21,57,15.717,South Gippsland (Shire),Australia/Melbourne,5968/13256/14217
61,Agnes Banks,,NSW,New South Wales,2753,Rural locality,-33.61888,150.70737,27,911,15.475,Penrith (City),Australia/Sydney,2595/5688/7785/10093/11360/15114
62,Agnes Water,,QLD,Queensland,4677,Urban locality,-24.21251,151.90335,25,2210,40.262,Gladstone (Regional Council),Australia/Brisbane,3775/11595/11909
63,Ainslie,Canberra,ACT,Australian Capital Territory,2602,Suburb,-35.26215,149.14589,593,5189,3.541,Unincorporated,Australia/Sydney,1649/2339/3868/5788/8059/11308
64,Airdmillan,,QLD,Queensland,4807,Rural locality,-19.54686,147.4437,11,109,57.429,Burdekin (Shire),Australia/Brisbane,179/461/6492
65,Airds,Sydney,NSW,New South Wales,2560,Suburb,-34.08447,150.82904,139,2926,2.381,Campbelltown (City),Australia/Sydney,1647/6172/6867/11646/12395
66,Aire Valley,,VIC,Victoria,3237,Rural locality,-38.69611,143.56898,399,0,16.238,Colac-Otway (Shire),Australia/Melbourne,264/875/2433/5210
67,Aireys Inlet,,VIC,Victoria,3231,Urban locality,-38.45944,144.10689,51,802,19.614,Surf Coast (Shire),Australia/Melbourne,237/4225/4640/14226
68,Airlie Beach,,QLD,Queensland,4802,Urban locality,-20.26787,148.71622,13,1208,3.07,Whitsunday (Regional Council),Australia/Brisbane,2393/2421/6598
69,Airly,,VIC,Victoria,3851,Rural locality,-38.03555,147.0844,14,146,25.166,Wellington (Shire),Australia/Melbourne,2920/2933/8860/12487
70,Airville,,QLD,Queensland,4807,Rural locality,-19.65354,147.33726,19,338,43.909,Burdekin (Shire),Australia/Brisbane,743/1669/6184/8346/9207/10378
71,Aitkenvale,Townsville,QLD,Queensland,4814,Suburb,-19.29771,146.76434,14,4790,3.307,Townsville (City),Australia/Brisbane,247/3405/3983/5709/5991/9452/13725
72,Ajana,,WA,Western Australia,6532,Rural locality,-27.94861,114.61132,213,58,727.824,Northampton (Shire),Australia/Perth,1192/3158/4573/6647/14261
73,Akaroa,,TAS,Tasmania,7216,Urban locality,-41.30452,148.31671,8,132,5.463,Break O'Day (Municipality),Australia/Hobart,12398
74,Akolele,,NSW,New South Wales,2546,Urban locality,-36.3558,150.07685,30,173,5.95,Eurobodalla (Area),Australia/Sydney,13122/13123/13818
75,Alabama Hill,Charters Towers,QLD,Queensland,4820,Suburb,-20.08292,146.24937,356,121,0.784,Charters Towers (Regional Council),Australia/Brisbane,2715/5539/12137/13317
76,Alawa,Darwin,NT,Northern Territory,810,Suburb,-12.37896,130.87423,21,2127,1.24,Darwin (City),Australia/Darwin,1763/2600/6565/8786/9629/11206/13760
77,Alawoona,,SA,South Australia,5311,Rural locality,-34.73589,140.50879,74,39,201.456,Loxton Waikerie (District Council),Australia/Adelaide,2267/8086/11812/13684/13892
78,Albacutya,,VIC,Victoria,3424,Rural locality,-35.69201,141.97654,85,0,98.519,Hindmarsh (Shire),Australia/Melbourne,1127/11170/15002
79,Albanvale,Melbourne,VIC,Victoria,3021,Suburb,-37.74593,144.77003,74,5491,1.863,Brimbank (City),Australia/Melbourne,2114/2242/3779/7027/12323
80,Albany,,WA,Western Australia,6330,Major urban locality,-35.02387,117.88354,25,1313,1.804,Albany (City),Australia/Perth,2658/9113/9251/10947
81,Albany Creek,Brisbane,QLD,Queensland,4035,Suburb,-27.34553,152.9684,21,15769,9.624,Moreton Bay (Regional Council),Australia/Brisbane,1707/1723/2076/4287/8348
82,Albert,,NSW,New South Wales,2873,Rural locality,-32.41586,147.50811,249,81,690.58,Lachlan (Area),Australia/Sydney,1495/3664/13304/13410
83,Alberta,,QLD,Queensland,4702,Rural locality,-24.32548,149.78253,97,69,385.434,Banana (Shire),Australia/Brisbane,668/712/7110/8659/9363/11598/13996
84,Alberton,,QLD,Queensland,4207,Rural locality,-27.70787,153.26916,6,590,16.199,Gold Coast (City),Australia/Brisbane,2466/4183/5126/11273/12351/14867
85,Alberton,Adelaide,SA,South Australia,5014,Suburb,-34.85922,138.51953,9,1818,0.967,Port Adelaide Enfield (City),Australia/Adelaide,2733/10681/10946/11138/11557
86,Alberton,,TAS,Tasmania,7263,Rural locality,-41.29309,147.78932,310,3,32.917,Dorset (Municipality),Australia/Hobart,8300/11382/13354/13576
87,Alberton,,VIC,Victoria,3971,Rural locality,-38.61139,146.66598,12,262,45.103,Wellington (Shire),Australia/Melbourne,88/5059/5998/7471/10948/12849/15109
88,Alberton West,,VIC,Victoria,3971,Rural locality,-38.59869,146.58795,21,81,25.083,Wellington (Shire),Australia/Melbourne,87/3848/5059/5998/6449/15109
89,Albert Park,Adelaide,SA,South Australia,5014,Suburb,-34.87831,138.52135,10,1724,0.906,Charles Sturt (City),Australia/Adelaide,2733/6013/11138/11863/14811/14816
90,Albert Park,Melbourne,VIC,Victoria,3206,Suburb,-37.84071,144.95571,10,6215,2.839,Port Phillip (City),Australia/Melbourne,8413/8558/10989/12181/12415/12417
91,Albinia,,QLD,Queensland,4722,Rural locality,-24.43965,148.3974,237,112,1068.018,Central Highlands (Regional Council),Australia/Brisbane,2240/3114/7889/10369/11501/14153
92,Albion,Brisbane,QLD,Queensland,4010,Suburb,-27.42803,153.04521,35,2296,1.322,Brisbane (City),Australia/Brisbane,365/1598/2854/5836/7932/9881/14594/14847
93,Albion,,QLD,Queensland,4822,Rural locality,-21.50903,142.69317,196,16,5538.565,Richmond (Shire),Australia/Brisbane,3285/7293/8315/11362/12326
94,Albion,Melbourne,VIC,Victoria,3020,Suburb,-37.77595,144.8194,44,4731,2.483,Brimbank (City),Australia/Melbourne,311/12323/12591/12595/12596
95,Albion Park,Wollongong,NSW,New South Wales,2527,Suburb,-34.57072,150.77503,12,13316,9.098,Shellharbour (City),Australia/Sydney,96/2256/3456/10078/13414/15166
96,Albion Park Rail,Wollongong,NSW,New South Wales,2527,Suburb,-34.56084,150.79575,6,6918,7.168,Shellharbour (City),Australia/Sydney,95/1228/2256/3456/5963/10239/15026
97,Albury,,NSW,New South Wales,2640,Major urban locality,-36.08214,146.91017,157,4804,5.683,Albury (City),Australia/Sydney,4196/5032/5336/10000/12107/14252
98,Alcomie,,TAS,Tasmania,7330,Rural locality,-40.93487,145.18523,215,56,32.33,Circular Head (Municipality),Australia/Hobart,6398/7639/8444/12143
99,Aldavilla,Kempsey,NSW,New South Wales,2440,Suburb,-31.05895,152.76814,13,1230,15.076,Kempsey (Area),Australia/Sydney,3943/4584/5598/11972/15121
100,Alderley,Brisbane,QLD,Queensland,4051,Suburb,-27.42442,153.00052,39,6117,2.55,Brisbane (City),Australia/Brisbane,387/4484/5540/9863/12315
101,Aldershot,,QLD,Queensland,4650,Rural locality,-25.47455,152.6601,19,1152,10.241,Fraser Coast (Regional Council),Australia/Brisbane,4053/4125/8275/8277/10244/11032/12391
102,Aldersyde,,WA,Western Australia,6306,Rural locality,-32.37423,117.30582,238,42,389.841,Brookton (Shire),Australia/Perth,588/1827/2000/4260/7272/12202
103,Aldgate,Crafers - Bridgewater,SA,South Australia,5154,Suburb,-35.01512,138.73619,421,3361,8.406,Adelaide Hills (District Council),Australia/Adelaide,1727/5984/9171/9589/12400
104,Aldinga,,SA,South Australia,5173,Urban locality,-35.26733,138.48314,33,573,13.332,Onkaparinga (City),Australia/Adelaide,105/8293/11008/11888/12864/14417
105,Aldinga Beach,Adelaide,SA,South Australia,5173,Suburb,-35.27888,138.4618,24,10557,13.668,Onkaparinga (City),Australia/Adelaide,104/11008/11887/11888
106,Aldoga,,QLD,Queensland,4694,Rural locality,-23.83529,151.07133,58,0,82.074,Gladstone (Regional Council),Australia/Brisbane,4222/9215/12824/14346/15138
107,Alectown,,NSW,New South Wales,2870,Rural locality,-32.91427,148.26801,377,168,277.144,Parkes (Area),Australia/Sydney,547/5459/10548/10625
108,Alexander Heights,Perth,WA,Western Australia,6064,Suburb,-31.82761,115.86713,69,7924,3.182,Wanneroo (City),Australia/Perth,565/3517/3684/5180/7138/7452/8171
109,Alexandra,,QLD,Queensland,4740,Rural locality,-21.16447,149.09961,20,193,7.474,Mackay (Regional Council),Australia/Brisbane,4085/4497/10492/12899/13803
110,Alexandra,,VIC,Victoria,3714,Urban locality,-37.19131,145.71106,222,2695,79.44,Murrindindi (Shire),Australia/Melbourne,34/3843/4682/7179/8047/13087/14371
111,Alexandra Bridge,,WA,Western Australia,6288,Rural locality,-34.16062,115.19957,23,9,6.601,Augusta-Margaret River (Shire),Australia/Perth,3349/4846/6769/13991
112,Alexandra Headland,Sunshine Coast,QLD,Queensland,4572,Suburb,-26.67064,153.10804,8,3958,1.504,Sunshine Coast (Regional Council),Australia/Brisbane,1930/8237/8890
113,Alexandra Hills,Brisbane,QLD,Queensland,4161,Suburb,-27.52277,153.22046,45,16254,13.69,Redland (City),Australia/Brisbane,1208/2411/2879/10372/11952/13081/14210
114,Alexandria,Sydney,NSW,New South Wales,2015,Suburb,-33.90985,151.19278,6,8262,3.516,Sydney (City),Australia/Sydney,830/4518/4606/8291/11254/11523/12479/14084/15259
115,Alford,,SA,South Australia,5555,Rural locality,-33.81518,137.82127,67,158,219.078,Barunga West (District Council),Australia/Adelaide,2180/10957/13066/13118/13841/13970/14494
116,Alfords Point,Sydney,NSW,New South Wales,2234,Suburb,-33.9933,151.02475,100,3109,2.567,Sutherland Shire (Area),Australia/Sydney,6332/8439
117,Alfred Cove,Perth,WA,Western Australia,6154,Suburb,-32.03424,115.80861,13,2550,1.057,Melville (City),Australia/Perth,270/316/408/1508/8431/9585
118,Alfredton,Ballarat,VIC,Victoria,3350,Suburb,-37.55696,143.81723,459,9220,8.01,Ballarat (City),Australia/Melbourne,2072/2475/3785/7367/7904/9851/14223
119,Alfredtown,,NSW,New South Wales,2650,Rural locality,-35.16147,147.51238,198,109,75.079,Wagga Wagga (City),Australia/Sydney,1545/4564/4847/7308/10392
120,Algester,Brisbane,QLD,Queensland,4115,Suburb,-27.6113,153.03352,33,8433,3.69,Brisbane (City),Australia/Brisbane,33/2248/7492/10467/10556/12575/14502
121,Alice,,NSW,New South Wales,2469,Rural locality,-29.05024,152.58745,117,6,13.275,Clarence Valley (Area),Australia/Sydney,1979/4618/6907/7835/8881/10773
122,Alice Creek,,QLD,Queensland,4610,Rural locality,-26.76002,151.6317,575,60,88.114,South Burnett (Regional Council),Australia/Brisbane,1638/2079/4413/5827/7231/14224
123,Alice River,,QLD,Queensland,4817,Urban locality,-19.32661,146.59971,50,2425,39.758,Townsville (City),Australia/Brisbane,1259/1377/5543/5721/6045/10836/11199
124,Alice Springs,,NT,Northern Territory,870,Major urban locality,-23.70036,133.88089,581,300,1.394,Alice Springs (Town),Australia/Darwin,2818/3833/4269/5141/11680/12529/13000
125,Ali Curung,,NT,Northern Territory,872,Urban locality,-21.00041,134.39409,378,494,443.15,Barkly (Regional Council),Australia/Darwin,3729
126,Alison,,NSW,New South Wales,2259,Rural locality,-33.26817,151.39865,8,95,1.396,Central Coast (City),Australia/Sydney,6547/8190/14991/14993
127,Alison,,NSW,New South Wales,2420,Rural locality,-32.4348,151.77193,90,76,19.271,Dungog (Area),Australia/Sydney,1812/4117/4889/5354/8263/12522/12670/14638
128,Alkimos,,WA,Western Australia,6038,Rural locality,-31.61455,115.68059,40,6269,17.174,Wanneroo (City),Australia/Perth,2182/2450/4345/6556/10149
129,Allambee,,VIC,Victoria,3823,Rural locality,-38.29287,146.02163,359,19,13.533,Baw Baw (Shire),Australia/Melbourne,130/11865/13368/15101
130,Allambee Reserve,,VIC,Victoria,3871,Rural locality,-38.28526,146.05489,417,95,33.062,Baw Baw (Shire),Australia/Melbourne,129/131/2768/5824/8720/13091/13368/15101
131,Allambee South,,VIC,Victoria,3871,Rural locality,-38.34374,146.09959,170,76,9.583,South Gippsland (Shire),Australia/Melbourne,130/8720/13090/13091
132,Allambie Heights,Sydney,NSW,New South Wales,2100,Suburb,-33.76508,151.24886,126,7009,6.675,Northern Beaches (Area),Australia/Sydney,829/1828/4943/6961/8133/10010/10080/11854
133,Allan,,QLD,Queensland,4370,Rural locality,-28.19557,151.94953,456,87,8.859,Southern Downs (Regional Council),Australia/Brisbane,7604/7605/11537/11544/13229
134,Allandale,,NSW,New South Wales,2320,Rural locality,-32.71069,151.42353,55,73,10.483,Maitland (City),Australia/Sydney,1219/5662/5892/6815/7753/7839/10387
135,Allandale,,QLD,Queensland,4310,Rural locality,-28.00836,152.75909,217,56,48.772,Scenic Rim (Regional Council),Australia/Brisbane,1492/1804/2389/3342/4066/7153/8600
136,Allanooka,,WA,Western Australia,6525,Rural locality,-29.04726,115.02908,100,19,323.584,Irwin (Shire),Australia/Perth,1461/2101/9186/9192/9654/14272/15083/15097
137,Allans Flat,,VIC,Victoria,3691,Rural locality,-36.27611,146.90982,206,318,38.331,Indigo (Shire),Australia/Melbourne,6885/6939/10381/12318/15009
138,Allansford,,VIC,Victoria,3277,Urban locality,-38.38647,142.59067,15,1521,85.636,Warrnambool (City),Australia/Melbourne,3502/8458/9692/13933/14047
139,Allanson,,WA,Western Australia,6225,Urban locality,-33.33753,116.09806,191,627,24.796,Collie (Shire),Australia/Perth,3026/5902/9468/14207/14907
140,Allawah,Sydney,NSW,New South Wales,2218,Suburb,-33.97002,151.11452,55,5706,0.584,Georges River (Area),Australia/Sydney,2504/6304/12160
141,Alleena,,NSW,New South Wales,2671,Rural locality,-34.10946,147.14097,284,61,269.633,Bland (Area),Australia/Sydney,328/707/8726/12726/14363/14952
142,Allenby Gardens,Adelaide,SA,South Australia,5009,Suburb,-34.90433,138.55515,18,1868,0.826,Charles Sturt (City),Australia/Adelaide,1101/4799/13290/14197/14278
143,Allendale,,VIC,Victoria,3364,Rural locality,-37.36871,143.93855,479,166,14.238,Hepburn (Shire),Australia/Melbourne,1837/3437/7037/7538/12054
144,Allendale East,,SA,South Australia,5291,Urban locality,-38.00337,140.70894,16,472,50.117,Grant (District Council),Australia/Adelaide,2422/2633/4352/9308/10986
145,Allendale North,,SA,South Australia,5373,Rural locality,-34.30398,138.91766,277,147,46.955,Light (Regional Council),Australia/Adelaide,503/5837/6726
146,Allens Rivulet,,TAS,Tasmania,7150,Rural locality,-43.01068,147.20406,148,487,11.972,Kingborough (Municipality),Australia/Hobart,6721/8199/11729
147,Allenstown,Rockhampton,QLD,Queensland,4700,Suburb,-23.38894,150.50287,13,2790,2.229,Rockhampton (Regional Council),Australia/Brisbane,3816/4646/10959/11449/13042
148,Allenview,,QLD,Queensland,4285,Rural locality,-27.90126,152.93908,36,184,43.494,Scenic Rim (Regional Council),Australia/Brisbane,1804/2646/5249/6629/13692/14772/14958
149,Allestree,,VIC,Victoria,3305,Rural locality,-38.27035,141.65616,10,128,7.96,Glenelg (Shire),Australia/Melbourne,1403/4169/5986/9717
150,Allgomera,,NSW,New South Wales,2441,Rural locality,-30.8161,152.83137,51,131,120.388,Nambucca (Area),Australia/Sydney,520/3041/3094/4565/12740/12878/13655/15115
151,Alligator Creek,,QLD,Queensland,4740,Rural locality,-21.32393,149.21106,16,791,78.03,Mackay (Regional Council),Australia/Brisbane,532/5560/5958/9442/11785
152,Alligator Creek,,QLD,Queensland,4816,Urban locality,-19.42492,146.9472,26,1353,49.402,Townsville (City),Australia/Brisbane,1816/6602/9152/9964
153,Allora,,QLD,Queensland,4362,Urban locality,-28.03585,151.98272,473,1223,96.473,Southern Downs (Regional Council),Australia/Brisbane,1036/4428/4858/6012/9242/12263/12710
154,Alloway,,QLD,Queensland,4670,Rural locality,-24.95238,152.36214,29,490,72.788,Bundaberg (Regional Council),Australia/Brisbane,2249/4419/6858/7054/12966/14865
155,Allworth,,NSW,New South Wales,2425,Rural locality,-32.54169,151.96093,20,166,18.251,Mid-Coast (Area),Australia/Sydney,1510/7660/12984
156,Allynbrook,,NSW,New South Wales,2311,Rural locality,-32.36334,151.53623,89,64,34.182,Dungog (Area),Australia/Sydney,1182/4232/5661/5826/9297
157,Alma,,SA,South Australia,5401,Rural locality,-34.26662,138.63086,177,75,102.786,Wakefield (District Council),Australia/Adelaide,5132/5848/10403/11713/12433/12441/12828
158,Alma,,VIC,Victoria,3465,Rural locality,-37.02881,143.67682,212,201,20.694,Central Goldfields (Shire),Australia/Melbourne,1600/8276/8921/13975
159,Alma,,WA,Western Australia,6535,Rural locality,-28.23338,114.69358,281,114,342.005,Northampton (Shire),Australia/Perth,4206/9960/10002/10289/11763/15025
160,Almaden,,QLD,Queensland,4871,Rural locality,-17.34006,144.67813,498,71,797.525,Mareeba (Shire),Australia/Brisbane,769/2769/3492/10724
161,Alma Park,,NSW,New South Wales,2659,Rural locality,-35.60413,146.79169,213,55,87.685,Greater Hume Shire (Area),Australia/Sydney,3513/6021/10871/11661/13639/13788/13843
162,Almonds,,VIC,Victoria,3727,Rural locality,-36.22497,146.06069,177,26,31.572,Moira (Shire),Australia/Melbourne,1604/1605/2056/7404/10668/14472
163,Almurta,,VIC,Victoria,3979,Rural locality,-38.45863,145.58388,66,48,16.589,Bass Coast (Shire),Australia/Melbourne,5218/5268/5548/6889/11665
164,Alonnah,,TAS,Tasmania,7150,Rural locality,-43.32148,147.24218,5,137,15.17,Kingborough (Municipality),Australia/Hobart,12019/12123
165,Aloomba,,QLD,Queensland,4871,Rural locality,-17.11626,145.83486,13,529,110.98,Cairns (Regional Council),Australia/Brisbane,3778/4761/5484/5601/14887/15090
166,Alpha,,QLD,Queensland,4724,Urban locality,-23.64966,146.64107,353,335,203.408,Barcaldine (Regional Council),Australia/Brisbane,847/4036/6141/11877/12601
