id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,area,local_government_area,timezone,bordering_location_ids
2383,Cannindah,,QLD,Queensland,4630,Rural locality,-24.86476,151.23768,260,32,70.274,North Burnett (Regional Council),Australia/Brisbane,620/1946/8862/12250/13094/13686
2384,Canning Creek,,QLD,Queensland,4357,Rural locality,-28.22938,151.15406,331,5,286.293,Goondiwindi (Regional Council),Australia/Brisbane,1759/2196/6357/7168/9040/12449
2385,Canning Mills,,WA,Western Australia,6111,Rural locality,-32.07109,116.10507,273,26,33.516,Kalamunda (City),Australia/Perth,2510/6761/7608/8267/10353/10752
2386,Cannington,Perth,WA,Western Australia,6107,Suburb,-32.01946,115.9392,16,5929,4.023,Canning (City),Australia/Perth,861/1030/4212/4703/7460/11136/14552
2387,Canningvale,,QLD,Queensland,4370,Rural locality,-28.24688,152.07373,465,136,13.569,Southern Downs (Regional Council),Australia/Brisbane,6610/8993/9326/9532/14057/14475
2388,Canning Vale,Perth,WA,Western Australia,6155,Suburb,-32.05799,115.91814,23,33059,25.347,Canning (City),Australia/Perth,639/5898/6287/6477/7460/7559/10570/10747/12142/13084/14505
2389,Cannon Creek,,QLD,Queensland,4310,Rural locality,-28.07186,152.7289,187,78,45.457,Scenic Rim (Regional Council),Australia/Brisbane,135/2007/3121/7087/7153/8239/8600
2390,Cannon Creek,,QLD,Queensland,4380,Rural locality,-28.60148,151.87353,827,39,10.88,Southern Downs (Regional Council),Australia/Brisbane,200/271/663/1782/11025/13056
2391,Cannon Hill,Brisbane,QLD,Queensland,4170,Suburb,-27.47245,153.09487,17,5533,3.909,Brisbane (City),Australia/Brisbane,2488/9006/9494/11904/13151
2392,Cannons Creek,,VIC,Victoria,3977,Urban locality,-38.21299,145.31545,9,647,8.212,Casey (City),Australia/Melbourne,1312/3847/10632/13989
2393,Cannonvale,,QLD,Queensland,4802,Urban locality,-20.27736,148.69921,16,5716,6.889,Whitsunday (Regional Council),Australia/Brisbane,68/2394/2421/14817
2394,Cannon Valley,,QLD,Queensland,4800,Rural locality,-20.31051,148.65755,38,963,17.039,Whitsunday (Regional Council),Australia/Brisbane,1671/2393/2421/9238/11390/12497/12550/14817
2395,Cann River,,VIC,Victoria,3890,Rural locality,-37.56424,149.15175,99,194,112,East Gippsland (Shire),Australia/Melbourne,9972/12746/13213
2396,Cannum,,VIC,Victoria,3393,Rural locality,-36.31013,142.24373,117,48,126.991,Yarriambiack (Shire),Australia/Melbourne,414/3489/3882/6819/12847/13863/14005
2397,Canobolas,,NSW,New South Wales,2800,Rural locality,-33.29835,149.04734,951,476,71.02,Orange (City),Australia/Sydney,4896/7633/9730/10350/12298
2398,Canoelands,,NSW,New South Wales,2157,Rural locality,-33.50871,151.06115,272,175,63.448,Hornsby (Area),Australia/Sydney,1050/4724/4843/5322/7511/8242/12028
2399,Canonba,,NSW,New South Wales,2825,Rural locality,-31.34707,147.34556,164,22,704.913,Bogan (Area),Australia/Sydney,4338/9162/9181/9437/9521/10222/13024
2400,Canoona,,QLD,Queensland,4702,Rural locality,-23.08085,150.27784,35,81,613.988,Livingstone (Shire),Australia/Brisbane,2366/5020/5338/6484/7246/8217/8999/15001
2401,Canowie,,SA,South Australia,5419,Rural locality,-33.38802,138.75982,506,8,34.92,Goyder (District Council),Australia/Adelaide,906/5792/5814/8327/14492
2402,Canowie Belt,,SA,South Australia,5420,Rural locality,-33.17668,138.7862,621,33,93.744,Goyder (District Council),Australia/Adelaide,906/907/12576/12944/14443
2403,Canowindra,,NSW,New South Wales,2804,Urban locality,-33.56222,148.66491,306,2258,765.382,Cabonne (Area),Australia/Sydney,1154/2487/3373/3501/4555/5433/8111/8936/9505/10225/13221/14801
2404,Canteen Creek,,NT,Northern Territory,872,Urban locality,-20.64525,135.58544,339,184,1.2,Barkly (Regional Council),Australia/Darwin,3331
2405,Canterbury,Sydney,NSW,New South Wales,2193,Suburb,-33.91085,151.12115,28,7233,1.964,Canterbury-Bankstown (Area),Australia/Sydney,375/2358/4195/6301
2406,Canterbury,Melbourne,VIC,Victoria,3126,Suburb,-37.8248,145.08182,69,8056,3.13,Boroondara (City),Australia/Melbourne,604/2303/3771/5949/6902/12609
2407,Canton Beach,Central Coast,NSW,New South Wales,2263,Suburb,-33.27192,151.54405,5,1171,0.832,Central Coast (City),Australia/Sydney,8021/9984/13308
2408,Canunda,,SA,South Australia,5280,Rural locality,-37.70515,140.29046,8,24,217.306,Wattle Range (District Council),Australia/Adelaide,2530/5090/8624/11317/12135/12787
2409,Canungra,,QLD,Queensland,4275,Urban locality,-28.01717,153.16472,100,1229,30.079,Scenic Rim (Regional Council),Australia/Brisbane,1023/1118/9931/11780/14657
2410,Canyonleigh,,NSW,New South Wales,2577,Rural locality,-34.58863,150.11876,638,398,257.815,Wingecarribee (Area),Australia/Sydney,651/908/1134/1687/1988/6567/10437/12620
2411,Capalaba,Brisbane,QLD,Queensland,4157,Suburb,-27.52571,153.19336,9,17333,18.703,Redland (City),Australia/Brisbane,113/1208/2086/2678/11952
2412,Caparra,,NSW,New South Wales,2429,Rural locality,-31.73073,152.24848,142,72,31.064,Mid-Coast (Area),Australia/Sydney,1349/1955/3890/14382
2413,Cape Arid,,WA,Western Australia,6452,Rural locality,-33.63944,123.43333,130,5,2802.877,Esperance (Shire),Australia/Perth,1631/2085/6249/6434
2414,Cape Barren Island,,TAS,Tasmania,7257,Rural locality,-40.39824,148.20145,36,66,580.405,Flinders (Municipality),Australia/Hobart,
2415,Cape Borda,,SA,South Australia,5223,Rural locality,-35.77082,136.7579,200,10,65.523,Kangaroo Island (District Council),Australia/Adelaide,3797/4798/5499
2416,Cape Bridgewater,,VIC,Victoria,3305,Rural locality,-38.37077,141.40181,50,150,78.293,Glenelg (Shire),Australia/Melbourne,2575/5475/9295/10983
2417,Cape Burney,,WA,Western Australia,6532,Urban locality,-28.86101,114.64275,3,500,18.867,Greater Geraldton (City),Australia/Perth,5617/11626/12816/13908
2418,Cape Clear,,VIC,Victoria,3351,Rural locality,-37.78682,143.61278,252,125,30.322,Golden Plains (Shire),Australia/Melbourne,1067/5875/6328/8140/10859/12268
2419,Cape Cleveland,,QLD,Queensland,4810,Rural locality,-19.33404,147.03189,7,155,224.705,Townsville (City),Australia/Brisbane,3445/3546/5181/9152/9964/12530
2420,Cape Conran,,VIC,Victoria,3888,Rural locality,-37.77772,148.72863,56,4,13.784,East Gippsland (Shire),Australia/Melbourne,8220
2421,Cape Conway,,QLD,Queensland,4800,Rural locality,-20.29812,148.74696,232,0,295.366,Whitsunday (Regional Council),Australia/Brisbane,68/1671/2393/2394/3116/3117/4785/6598/8105/9238/9301/10485/11039
2422,Cape Douglas,,SA,South Australia,5291,Rural locality,-38.00226,140.61086,10,58,27.777,Grant (District Council),Australia/Adelaide,144/7117/9308/9788/10986
2423,Capeen Creek,,NSW,New South Wales,2469,Rural locality,-28.54413,152.64934,216,5,43.848,Kyogle (Area),Australia/Sydney,838/1490/1873/4051/13573
2424,Cape Gloucester,,QLD,Queensland,4800,Rural locality,-20.06596,148.45371,13,62,229.114,Whitsunday (Regional Council),Australia/Brisbane,3889/5654/6063/14817
2425,Cape Hillsborough,,QLD,Queensland,4740,Rural locality,-20.9162,149.02868,163,44,11.953,Mackay (Regional Council),Australia/Brisbane,578
2426,Cape Jaffa,,SA,South Australia,5275,Rural locality,-36.94656,139.68348,6,54,27.817,Kingston (District Council),Australia/Adelaide,13932
2427,Cape Jervis,,SA,South Australia,5204,Rural locality,-35.60368,138.10528,79,264,41.953,Yankalilla (District Council),Australia/Adelaide,3769/3788/11205/12010
2428,Capel,,WA,Western Australia,6271,Urban locality,-33.55757,115.5589,17,2509,66.351,Capel (Shire),Australia/Perth,2431/4378/4870/7914/12403/12491/13465
2429,Cape Le Grand,,WA,Western Australia,6450,Rural locality,-33.92,122.31583,31,17,340.115,Esperance (Shire),Australia/Perth,3088/8479
2430,Capella,,QLD,Queensland,4723,Urban locality,-23.0861,148.02308,234,1010,9.399,Central Highlands (Regional Council),Australia/Brisbane,910/2787/6059/6915
2431,Capel River,,WA,Western Australia,6271,Rural locality,-33.64722,115.66944,83,140,95.134,Capel (Shire),Australia/Perth,2428/4378/10611/13039/13465/15204
2432,Capels Crossing,,VIC,Victoria,3579,Rural locality,-35.61524,143.94237,78,35,69.123,Gannawarra (Shire),Australia/Melbourne,6882/7350/9515/9575/11294/14270
2433,Cape Otway,,VIC,Victoria,3233,Rural locality,-38.85298,143.52278,68,15,82.409,Colac-Otway (Shire),Australia/Melbourne,66/264/5210/6209
2434,Cape Paterson,,VIC,Victoria,3995,Rural locality,-38.66036,145.61632,30,891,15.798,Bass Coast (Shire),Australia/Melbourne,5889/6389/14738
2435,Cape Pillar,,TAS,Tasmania,7182,Rural locality,-43.18379,147.94087,224,4,34.975,Tasman (Municipality),Australia/Hobart,4878
2436,Cape Portland,,TAS,Tasmania,7264,Rural locality,-40.7849,147.99394,21,3,61.93,Dorset (Municipality),Australia/Hobart,9564/11652
2437,Cape Range National Park,,WA,Western Australia,6707,Rural locality,-22.12306,113.92986,139,15,501.834,Exmouth (Shire),Australia/Perth,4626/7547/10122
2438,Cape Raoul,,TAS,Tasmania,7184,Rural locality,-43.20121,147.76345,195,0,19.545,Tasman (Municipality),Australia/Hobart,10952/12473/14391
2439,Capertee,,NSW,New South Wales,2846,Rural locality,-33.14897,149.99001,819,145,214.033,Lithgow (City),Australia/Sydney,999/1369/5213/5242/10480/11599/11638
2440,Cape Schanck,,VIC,Victoria,3939,Urban locality,-38.46499,144.89998,141,446,31.269,Mornington Peninsula (Shire),Australia/Melbourne,1430/4738/4797
2441,Cape Tribulation,,QLD,Queensland,4873,Rural locality,-16.09996,145.45957,12,118,110.808,Douglas (Shire),Australia/Brisbane,1314/3782/9950/13088
2442,Cape Woolamai,,VIC,Victoria,3925,Rural locality,-38.54338,145.34078,18,1676,6.117,Bass Coast (Shire),Australia/Melbourne,9849
2443,Capital Hill,Canberra,ACT,Australian Capital Territory,2600,Suburb,-35.30806,149.12444,604,0,0.701,Unincorporated,Australia/Sydney,762/3750/4865/10547/15108
2444,Capoompeta,,NSW,New South Wales,2371,Rural locality,-29.39323,152.04153,1093,3,71.883,Glen Innes Severn (Area),Australia/Sydney,1393/3774/4853/9031
2445,Capricorn,,WA,Western Australia,6642,Rural locality,-23.93778,119.84528,612,59,16738.274,Meekatharra (Shire),Australia/Perth,231/7229/7729/9861/10626
2446,Captain Creek,,QLD,Queensland,4677,Rural locality,-24.29203,151.78,40,358,142.315,Gladstone (Regional Council),Australia/Brisbane,4580/9334/11595/12872
2447,Captains Flat,,NSW,New South Wales,2623,Rural locality,-35.57978,149.42032,1142,610,166.908,Queanbeyan-Palerang Regional (Area),Australia/Sydney,4676/5890/6563/11053/11575/13150/13646/15133
2448,Captains Mountain,,QLD,Queensland,4357,Rural locality,-27.92223,151.17059,473,77,173.328,Toowoomba (Regional Council),Australia/Brisbane,1759/2901/3084/3602/4857/8627/8628/8629/8639/13443/14285
2449,Caraban,,WA,Western Australia,6041,Rural locality,-31.35357,115.52655,43,23,44.115,Gingin (Shire),Australia/Perth,4974/5699/9765/14470/14788
2450,Carabooda,,WA,Western Australia,6033,Rural locality,-31.59423,115.71841,44,442,19.09,Wanneroo (City),Australia/Perth,128/4345/10149/15048
2451,Carabost,,NSW,New South Wales,2650,Rural locality,-35.57872,147.71714,352,55,205.986,Greater Hume Shire (Area),Australia/Sydney,3258/6277/7286/7711/11560/15080
2452,Caragabal,,NSW,New South Wales,2810,Rural locality,-33.84383,147.73926,228,185,538.866,Weddin (Area),Australia/Sydney,476/1297/10819/11075/11124/14645
2453,Carag Carag,,VIC,Victoria,3623,Rural locality,-36.46233,144.90428,105,71,58.238,Campaspe (Shire),Australia/Melbourne,2133/3311/5171/11651/12335
2454,Caralue,,SA,South Australia,5641,Rural locality,-33.23659,136.0645,133,29,247.026,Kimba (District Council),Australia/Adelaide,3242/3694/5828/10504/12088/13753
2455,Caralulup,,VIC,Victoria,3371,Rural locality,-37.20502,143.63771,276,3,17.765,Central Goldfields (Shire),Australia/Melbourne,2102/4595/7643/12464/12704
2456,Caramut,,VIC,Victoria,3274,Rural locality,-37.95018,142.51064,162,246,276.607,Moyne (Shire),Australia/Melbourne,2723/6052/8681/8688/9683/10689/11089/14773
2457,Carani,,WA,Western Australia,6566,Rural locality,-31.00856,116.43318,281,21,190.61,Victoria Plains (Shire),Australia/Perth,2265/5346/7119/7400/10309/15181
2458,Carapooee,,VIC,Victoria,3477,Rural locality,-36.71279,143.33551,237,64,77.241,Northern Grampians (Shire),Australia/Melbourne,2459/3652/4452/7157/12353/12354/12532
2459,Carapooee West,,VIC,Victoria,3477,Rural locality,-36.70731,143.24613,254,21,54.762,Northern Grampians (Shire),Australia/Melbourne,860/2458/8886/12353/12354/12532
2460,Carapook,,VIC,Victoria,3312,Rural locality,-37.55174,141.54113,139,70,74.359,Southern Grampians (Shire),Australia/Melbourne,2584/3002/7120/9491/9684/13915
2461,Caravonica,Cairns,QLD,Queensland,4878,Suburb,-16.86006,145.6829,77,1989,4.64,Cairns (Regional Council),Australia/Brisbane,755/756/6683/7968/12058
2462,Carawa,,SA,South Australia,5680,Rural locality,-32.36455,134.23503,50,11,180.373,Ceduna (District Council),Australia/Adelaide,2778/5917/10202/10726/11085/12072
2463,Carbine Creek,,QLD,Queensland,4723,Rural locality,-23.26187,147.80325,256,23,561.156,Central Highlands (Regional Council),Australia/Brisbane,327/4863/6059/13045
2464,Carbla,,WA,Western Australia,6701,Rural locality,-26.19882,114.29139,24,0,965.239,Shark Bay (Shire),Australia/Perth,5832/14784/14872
2465,Carboor,,VIC,Victoria,3678,Rural locality,-36.59623,146.52234,224,95,122.687,Wangaratta (Rural City),Australia/Melbourne,1350/1941/3671/4332/8378/14434
2466,Carbrook,,QLD,Queensland,4130,Rural locality,-27.68709,153.27603,16,1216,22.836,Logan (City),Australia/Brisbane,84/3302/4183/9127/11273
2467,Carbunup River,,WA,Western Australia,6280,Rural locality,-33.69934,115.18906,24,116,27.939,Busselton (City),Australia/Perth,250/6560/8278/10063/11149/13680/15031/15170
2468,Carcalgong,,NSW,New South Wales,2850,Rural locality,-32.85342,149.6972,784,45,74.661,Mid-Western Regional (Area),Australia/Sydney,1/1357/3488/3503/5595/11110/14588
2469,Carcoar,,NSW,New South Wales,2791,Urban locality,-33.60962,149.1406,721,301,124.071,Blayney (Area),Australia/Sydney,1304/1857/2118/4514/8111/9822
2470,Carcuma,,SA,South Australia,5301,Rural locality,-35.57545,140.04333,39,3,112.234,The Coorong (District Council),Australia/Adelaide,3204/5086/6442/9812
2471,Cardiff,Newcastle,NSW,New South Wales,2285,Suburb,-32.93971,151.65934,20,5830,5.163,Lake Macquarie (City),Australia/Sydney,321/1471/2473/2474/5009/5237/6108/8001
2472,Cardiff,,WA,Western Australia,6225,Rural locality,-33.44092,116.20584,206,107,171.158,Collie (Shire),Australia/Perth,1595/3027/7933/8337/9395/9433/9958/11044/11990
2473,Cardiff Heights,Newcastle,NSW,New South Wales,2285,Suburb,-32.93622,151.67225,95,1443,1.315,Lake Macquarie (City),Australia/Sydney,2471/4375/5009/5237/9854/11201
2474,Cardiff South,Newcastle,NSW,New South Wales,2285,Suburb,-32.95774,151.66145,60,2830,1.383,Lake Macquarie (City),Australia/Sydney,2471/6108/7381/8001/13992
2475,Cardigan,,VIC,Victoria,3352,Rural locality,-37.52654,143.74774,422,754,40.68,Ballarat (City),Australia/Melbourne,118/1541/2072/2476/5795/7904/8740/14223/14586
2476,Cardigan Village,,VIC,Victoria,3352,Rural locality,-37.51876,143.71564,408,667,1.729,Ballarat (City),Australia/Melbourne,2475/14586
2477,Cardinia,,VIC,Victoria,3978,Rural locality,-38.14596,145.42329,11,376,27.015,Cardinia (Shire),Australia/Melbourne,2919/2921/3638/7170/10288/10453/11674/13257
2478,Cardross,,VIC,Victoria,3496,Rural locality,-34.29202,142.14546,59,821,40.682,Mildura (Rural City),Australia/Melbourne,6422/7161/11250
2479,Cardstone,,QLD,Queensland,4854,Rural locality,-17.75121,145.60939,163,17,82.521,Cassowary Coast (Regional Council),Australia/Brisbane,3891/7135/7166/9487/13873
2480,Cardup,,WA,Western Australia,6122,Urban locality,-32.25093,115.9776,31,1110,11.072,Serpentine-Jarrahdale (Shire),Australia/Perth,2200/9451/10240/10299/14390
2481,Cardwell,,QLD,Queensland,4849,Urban locality,-18.26565,146.02793,9,1309,31.616,Cassowary Coast (Regional Council),Australia/Brisbane,2558/3659/4408/7923
2482,Carew,,SA,South Australia,5270,Rural locality,-36.30115,140.47146,51,28,90.845,Tatiara (District Council),Australia/Adelaide,1751/1912/2381/6817/7116/14493/14641
2483,Carey Bay,Newcastle,NSW,New South Wales,2283,Suburb,-33.02713,151.60584,16,896,0.49,Lake Macquarie (City),Australia/Sydney,2929/6943/13282
2484,Carey Gully,,SA,South Australia,5144,Rural locality,-34.96514,138.76345,568,414,10.203,Adelaide Hills (District Council),Australia/Adelaide,556/781/4855/9171/10749/13632
2485,Carey Park,Bunbury,WA,Western Australia,6230,Suburb,-33.35278,115.64202,11,5168,4.073,Bunbury (City),Australia/Perth,3018/3731/4210/12124/14658
2486,Cargerie,,VIC,Victoria,3334,Rural locality,-37.80358,143.95292,377,35,25.185,Moorabool (Shire),Australia/Melbourne,4360/5660/8464/9252
2487,Cargo,,NSW,New South Wales,2800,Urban locality,-33.42363,148.80893,595,596,253.367,Cabonne (Area),Australia/Sydney,1591/2403/3501/4896/7633/8111/10511
2488,Carina,Brisbane,QLD,Queensland,4152,Suburb,-27.49573,153.08869,38,11019,4.427,Brisbane (City),Australia/Brisbane,2355/2391/2490/2492/11904/13151
2489,Carina,,VIC,Victoria,3512,Rural locality,-35.21417,141.095,93,22,193.883,Mildura (Rural City),Australia/Melbourne,1127/9534/9537/10505
2490,Carina Heights,Brisbane,QLD,Queensland,4152,Suburb,-27.50385,153.09055,39,6732,3.377,Brisbane (City),Australia/Brisbane,2355/2488/2492/6157/8152/9176
2491,Carinda,,NSW,New South Wales,2831,Rural locality,-30.4612,147.69117,127,158,3378.213,Walgett (Area),Australia/Sydney,1714/3099/5405/5743/8003/11119/13024/13794
2492,Carindale,Brisbane,QLD,Queensland,4152,Suburb,-27.50578,153.10236,14,15740,10.885,Brisbane (City),Australia/Brisbane,969/2488/2490/7985/8152/9176/13151
2493,Carine,Perth,WA,Western Australia,6020,Suburb,-31.85098,115.77812,42,6479,4.681,Stirling (City),Australia/Perth,533/4098/5778/5833/6770/10014/14058/14091
2494,Caringal,,VIC,Victoria,3825,Rural locality,-37.94791,146.33806,365,19,71.775,Baw Baw (Shire),Australia/Melbourne,203/806/4501/8907/12778
2495,Caringbah,Sydney,NSW,New South Wales,2229,Suburb,-34.04316,151.1231,43,11658,4.089,Sutherland Shire (Area),Australia/Sydney,2496/8715/12822/14846
2496,Caringbah South,Sydney,NSW,New South Wales,2229,Suburb,-34.05417,151.12067,52,12242,4.092,Sutherland Shire (Area),Australia/Sydney,2137/2495/3929/7645/8715/10972/14846
2497,Carisbrook,,VIC,Victoria,3464,Urban locality,-37.04837,143.81688,197,1115,116.272,Central Goldfields (Shire),Australia/Melbourne,692/693/3392/4304/4782/5930/8055/8276/8892/12021
2498,Carlaminda,,NSW,New South Wales,2630,Rural locality,-36.25415,149.30947,789,36,79.248,Snowy Monaro Regional (Area),Australia/Sydney,3675/5262/7282/10185
2499,Carlingford,Sydney,NSW,New South Wales,2118,Suburb,-33.78296,151.04771,110,24394,8.528,Parramatta (City),Australia/Sydney,880/4103/4280/4490/10089/10094/10262/12908/14330
