ageID,head_campus_ageID,school_name,street,town_suburb,postcode,level_of_schooling,school_gender,sector,systemic,school_affiliation,diocese,sys_num,sys_desc,school _specialty_indicator,campus_level,school_url,lga,electorate_code,fed_electorate,SA3,SA4,ASGS_remoteness,latitude,longitude
27794,27794,Unity Grammar College,70 Fourth Avenue,Austral,2179,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,http://www.unitygrammar.com.au,Liverpool (C),Camden,Werriwa,Bringelly - Green Valley,Sydney - South West,Major Cities of Australia,-33.944694,150.802523
27795,27795,Mother Teresa Primary School,2a Darcy Road,Westmead,2145,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Parramatta,4101,Catholic System NSW,Non special,Primary,http://www.motherteresawestmead.catholic.edu.au,Parramatta (C),Seven Hills,Parramatta,Parramatta,Sydney - Parramatta,Major Cities of Australia,-33.803397,150.984154
28122,28122,Sydney Adventist School - Auburn,3 Macquarie Road,Auburn,2144,Primary,Co-ed,Independent,Systemic,Seventh Day Adventist,,4110,SDA System Greater Sydney,Non special,Primary,http://www.auburn.adventist.edu.au,Strathfield (A),Strathfield,Reid,Strathfield - Burwood - Ashfield,Sydney - Inner West,Major Cities of Australia,-33.8749,151.079
28131,28131,St Joseph's Regional College,College Drive,Port Macquarie,2444,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Lismore,4101,Catholic System NSW,Non special,Secondary,http://www.pmreglism.catholic.edu.au/,Port Macquarie-Hastings (A),Port Macquarie,Cowper,Port Macquarie,Mid North Coast,Inner Regional Australia,-31.429396,152.898328
28145,28145,Bellfield College,29 - 31 Rossmore Avenue West,Rossmore,2557,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,http://www.bellfield.nsw.edu.au,Liverpool (C),Camden,Werriwa,Bringelly - Green Valley,Sydney - South West,Major Cities of Australia,-33.941562,150.766599
28154,28154,Yeshiva College,36 Flood Street,Bondi,2026,Combined,Co-ed,Independent,Non-Systemic,Jewish,,0,,Non special,Combined,http://www.yeshiva.org.au,Waverley (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.891831,151.259389
28172,28172,Trades Norwest Anglican Senior College,1000 Old Windsor Road,Glenwood,2768,Secondary,Co-ed,Independent,Systemic,Anglican,,16718,Anglican Schools System Sydney,Non special,Secondary,http://www.tradesnorwest.nsw.edu.au,Blacktown (C),Blacktown,Greenway,Blacktown,Sydney - Blacktown,Major Cities of Australia,-33.7464,150.901
28198,28198,Pacific Coast Christian School,3a Acacia Street,Tweed Heads South,2486,Combined,Co-ed,Independent,Non-Systemic,Christian School,,0,,Non special,Combined,http://www.pacificcoast.nsw.edu.au,Tweed (A),Tweed,Richmond,Tweed Valley,Richmond - Tweed,Major Cities of Australia,-28.197637,153.520713
28248,28248,Our Lady of the Angels Primary School,1 Wellgate Avenue,Kellyville,2155,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Parramatta,4101,Catholic System NSW,Non special,Primary,http://www.olarousehill.catholic.edu.au,The Hills Shire (A),Castle Hill,Mitchell,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,-33.683958,150.933018
28510,28510,Saint Mary MacKillop College Albury,197 Urana Road,Jindera,2642,Combined,Co-ed,Independent,Non-Systemic,Catholic (Roman),,0,,Non special,Combined,http://smmc.nsw.edu.au/,Greater Hume Shire (A),Albury,Farrer,Albury,Murray,Inner Regional Australia,-35.951768,146.887464
28543,28543,Pacific Valley Christian School,8 Edinburgh Drive,Townsend,2463,Combined,Co-ed,Independent,Non-Systemic,Christian School,,0,,Non special,Combined,http://www.pacificvalley.com.au,Greater Hume Shire (A),Clarence,Page,Clarence Valley,Coffs Harbour - Grafton,Inner Regional Australia,-29.462867,153.217315
28555,28555,Lindfield Montessori Preschool,9 Moore Street,West Lindfield,2070,Primary,Co-ed,Independent,Non-Systemic,Montessori School,,0,,Non special,Primary,http://www.lindfieldmontessori.nsw.edu.au,Ryde (C),Davidson,Bradfield,Ku-ring-gai,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.777789,151.148357
28606,28606,WAYS Secondary,63a Wairoa Avenue,Bondi,2026,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,http://www.ways.org.au,Waverley (A),Vaucluse,Wentworth,Eastern Suburbs - North,Sydney - Eastern Suburbs,Major Cities of Australia,-33.886915,151.279192
28875,28875,Cameragal Montessori School,2B  Montpelier Street,Neutral Bay,2089,Primary,Co-ed,Independent,Non-Systemic,Montessori School,,0,,Non special,Primary,http://cameragal.nsw.edu.au/,North Sydney (A),North Shore,North Sydney,North Sydney - Mosman,Sydney - North Sydney and Hornsby,Major Cities of Australia,-33.8428,151.2078
28880,28880,Karuna Montessori School,48-50 Parr Parade,Narraweena,2099,Primary,Co-ed,Independent,Non-Systemic,Montessori School,,0,,Non special,Primary,http://www.karuna.com.au,Warringah (A),Wakehurst,Mackellar,Warringah,Sydney - Northern Beaches,Major Cities of Australia,-33.74781,151.276408
28887,28887,Albury Wodonga Community College  Albury,327B Kiewa Street,Albury,2640,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,https://www.awcc.edu.au/,Albury (C),Albury,Farrer,Albury,Murray,Inner Regional Australia,-36.0897,146.9133
